Tab,Chat,Sender,Message
"Primary","Yunona","Me","6 фев 2026 г., 22:30"
"Primary","Yunona","Me","Хахах какой дерзкий) видно вилок не боишся"
"Primary","Yunona","Me","7 фев 2026 г., 03:44"
"Primary","Yunona","Me","Фэйк, Я вообще солнышко  А если без клоунства, давай тебя в телегу украду, хочется отвечать тебе чуть чаще) @awst_rv"
"Primary","СВАДЕБНЫЙ ВИЗАЖИСТ СПБ ОБУЧЕНИЕ ПИТЕР","Partner","Request (1)"
"Primary","СВАДЕБНЫЙ ВИЗАЖИСТ СПБ ОБУЧЕНИЕ ПИТЕР","Partner","1 дн."
"Primary","СВАДЕБНЫЙ ВИЗАЖИСТ СПБ ОБУЧЕНИЕ ПИТЕР","Partner","2 нед."
"Primary","СВАДЕБНЫЙ ВИЗАЖИСТ СПБ ОБУЧЕНИЕ ПИТЕР","Partner","3 нед."
"Primary","СВАДЕБНЫЙ ВИЗАЖИСТ СПБ ОБУЧЕНИЕ ПИТЕР","Partner","kateee.nik"
"Primary","СВАДЕБНЫЙ ВИЗАЖИСТ СПБ ОБУЧЕНИЕ ПИТЕР","Partner","kateee.nik · Instagram"
"Primary","СВАДЕБНЫЙ ВИЗАЖИСТ СПБ ОБУЧЕНИЕ ПИТЕР","Me","5 фев 2026 г., 14:42"
"Primary","СВАДЕБНЫЙ ВИЗАЖИСТ СПБ ОБУЧЕНИЕ ПИТЕР","Me","Катя, привет! У тебя невероятно эстетичный профиль, работы - огонь  . Но, честно говоря, пока листал, запутался: где модели, а где ты сама. Мне кажется, ты выглядишь даже эффектнее, чем твои клиентки)"
"Primary","МАКИЯЖ БРОВИ ПЕРМАНЕНТ СПБ МОСКВА ОБУЧЕНИЕ| UGS","Partner","Request (1)"
"Primary","МАКИЯЖ БРОВИ ПЕРМАНЕНТ СПБ МОСКВА ОБУЧЕНИЕ| UGS","Partner","1 дн."
"Primary","МАКИЯЖ БРОВИ ПЕРМАНЕНТ СПБ МОСКВА ОБУЧЕНИЕ| UGS","Partner","2 нед."
"Primary","МАКИЯЖ БРОВИ ПЕРМАНЕНТ СПБ МОСКВА ОБУЧЕНИЕ| UGS","Partner","3 нед."
"Primary","МАКИЯЖ БРОВИ ПЕРМАНЕНТ СПБ МОСКВА ОБУЧЕНИЕ| UGS","Partner","ann.kulikovaa"
"Primary","МАКИЯЖ БРОВИ ПЕРМАНЕНТ СПБ МОСКВА ОБУЧЕНИЕ| UGS","Partner","ann.kulikovaa · Instagram"
"Primary","МАКИЯЖ БРОВИ ПЕРМАНЕНТ СПБ МОСКВА ОБУЧЕНИЕ| UGS","Me","5 фев 2026 г., 14:37"
"Primary","МАКИЯЖ БРОВИ ПЕРМАНЕНТ СПБ МОСКВА ОБУЧЕНИЕ| UGS","Me","У тебя эстетика не про «работу», а про настроение. Таких людей лучше узнавать не в переписке. Давай кофе на этой неделе?"
"Primary","Прически & Макияж • СПб • Обучение","Partner","Request (1)"
"Primary","Прически & Макияж • СПб • Обучение","Partner","1 дн."
"Primary","Прически & Макияж • СПб • Обучение","Partner","2 нед."
"Primary","Прически & Макияж • СПб • Обучение","Partner","3 нед."
"Primary","Прически & Макияж • СПб • Обучение","Partner","ulyana_stylist_"
"Primary","Прически & Макияж • СПб • Обучение","Partner","ulyana_stylist_ · Instagram"
"Primary","Прически & Макияж • СПб • Обучение","Me","5 фев 2026 г., 14:33"
"Primary","Прически & Макияж • СПб • Обучение","Me","Ульяна, у тебя профиль опасный - после него начинаешь замечать женские волосы и шею   Это уже профдеформация или просто хороший вкус?"
"Primary","Карина","Partner","Request (1)"
"Primary","Карина","Partner","1 дн."
"Primary","Карина","Partner","2 нед."
"Primary","Карина","Partner","3 нед."
"Primary","Карина","Partner","kosmetolog_camouflage_spb"
"Primary","Карина","Partner","kosmetolog_camouflage_spb · Instagram"
"Primary","Карина","Me","5 фев 2026 г., 14:31"
"Primary","Карина","Me","Ты выглядишь как человек, который делает людей красивее по работе и немного опаснее - по энергетике   Скажи честно, косметологи сами чаще разбивают сердца или лечат их?"
"Primary","Виктория","Partner","Request (1)"
"Primary","Виктория","Partner","1 дн."
"Primary","Виктория","Partner","2 нед."
"Primary","Виктория","Partner","3 нед."
"Primary","Виктория","Partner","smi__vi"
"Primary","Виктория","Partner","smi__vi · Instagram"
"Primary","Виктория","Me","31 янв 2026 г., 20:51"
"Primary","Виктория","Me","До боли знакомое лицо. Мы общались раньше?"
"Primary","Виктория","Me","3 фев 2026 г., 10:37"
"Primary","Виктория","Me","Нет)"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Partner","Request (1)"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Partner","1 дн."
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Partner","2 нед."
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Partner","3 нед."
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Partner","katyusha.amurs.armor"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Partner","katyusha.amurs.armor · Instagram"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Me","1 фев 2026 г., 20:08"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Me","Трэш или эстетика"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Me","1 фев 2026 г., 22:29"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Me","Вы о чем ?"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Me","2 фев 2026 г., 21:18"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Me","От тебя вайб отличницы с чертями внутри Или так и задумывалось"
"Primary","⛓️ КАТЮША ⛓️ ТЯЖЕЛЫЙ ЛЮКС ИЗ САНКТ-ПЕТЕРБУРГА ⛓️","Me","Интересное наблюдение. Неожиданное. На самом деле я ничего конкретного не задумывала ))"
"Primary","Unknown","Partner","Request (1)"
"Primary","Unknown","Partner","1 дн."
"Primary","Unknown","Partner","2 нед."
"Primary","Unknown","Partner","3 нед."
"Primary","Unknown","Partner","ruben badalov и Dionysus"
"Primary","Unknown","Me","ruben_badalov создал(-а) группу."
"Primary","Unknown","Me","ruben badalov"
"Primary","Unknown","Me","Сообщение недоступно"
"Primary","Unknown","Me","Владелец этого контента мог удалить его или скрыть с помощью настроек конфиденциальности."
"Primary","Unknown","Partner","Вы не можете отправлять сообщения в этой группе"
"Primary","Unknown","Partner","Вы больше не состоите в этой группе. Если вы хотите звонить и принимать вызовы, а также обмениваться сообщениями в группе, вам необходимо присоединиться к ней ещё раз."
"General","никитук смешной инфлюенсер","Partner","Request (1)"
"General","никитук смешной инфлюенсер","Partner","3 нед."
"General","никитук смешной инфлюенсер","Partner","5 нед."
"General","никитук смешной инфлюенсер","Partner","16 нед."
"General","никитук смешной инфлюенсер","Partner","17 нед."
"General","никитук смешной инфлюенсер","Partner","rnikitykk"
"General","никитук смешной инфлюенсер","Partner","rnikitykk · Instagram"
"General","никитук смешной инфлюенсер","Me","30 янв 2026 г., 09:54"
"General","никитук смешной инфлюенсер","Me","у тебя вайб, будто за киндер на меня прыгнешь"
"General","Кристина Романова","Partner","Request (1)"
"General","Кристина Романова","Partner","3 нед."
"General","Кристина Романова","Partner","5 нед."
"General","Кристина Романова","Partner","16 нед."
"General","Кристина Романова","Partner","17 нед."
"General","Кристина Романова","Partner","1romanova1101"
"General","Кристина Романова","Partner","1romanova1101 · Instagram"
"General","Кристина Романова","Me","31.12.2025, 14:30"
"General","Кристина Романова","Partner","lpshkaa"
"General","Кристина Романова","Me","19 янв 2026 г., 14:47"
"General","Кристина Романова","Partner","dr_sukhin"
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Partner","Request (1)"
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Partner","3 нед."
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Partner","5 нед."
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Partner","16 нед."
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Partner","17 нед."
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Partner","_moshkina_"
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Partner","_moshkina_ · Instagram"
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Me","01.11.2025, 22:32"
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Me","Вайб отвал пизды  Дева?"
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Me","04.11.2025, 17:27"
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Me","Спасибо"
"General","НАСТЯ / ТВОЙ ТАРГЕТОЛОГ","Me","Нет, козерог"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Partner","Request (1)"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Partner","3 нед."
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Partner","5 нед."
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Partner","16 нед."
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Partner","17 нед."
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Partner","facettenn"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Partner","facettenn · Instagram"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","01.11.2025, 22:35"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Харизма просто вау  Дева?"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","01.11.2025, 23:13"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Ахха, спасибо!!! Неет, я рак)"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","02.11.2025, 07:59"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Хах, а вот и первые редфлаги пошли)"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Но очень мило, такая прелесть с глазами топ суки  Или это план такой"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","02.11.2025, 09:04"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Ахахах почему ред флаг"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP вам ответил(-а)"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Хаха, бог создает нас такими, к нему вопросы)"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","02.11.2025, 11:09"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Тут скорее к тому, кто душу покупал"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Ты ж с питера, верно?"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","02.11.2025, 11:29"
"General","Айгуль| ТАНЦЫ СПБ | HIGH HEELS | GIRLY HIP HOP","Me","Да)"
"General","莫心語","Partner","Request (1)"
"General","莫心語","Partner","3 нед."
"General","莫心語","Partner","5 нед."
"General","莫心語","Partner","16 нед."
"General","莫心語","Partner","17 нед."
"General","莫心語","Partner","decemsagi"
"General","莫心語","Partner","decemsagi · Instagram"
"General","莫心語","Me","22.10.2025, 22:10"
"General","莫心語","Me","Вайб отвал пизды Козерог?"
"General","莫心語","Me","26.10.2025, 02:22"
"General","莫心語","Me","Извините, я не поняла, у меня очень плохой русский."
"General","莫心語","Me","27.10.2025, 20:06"
"General","莫心語","Me","English?"
"General","莫心語","Me","29.10.2025, 18:23"
"General","莫心語","Me","莫心語 вам ответил(-а)"
"General","莫心語","Me","Чуть-Чуть"
"General","莫心語","Me","31.10.2025, 15:46"
"General","莫心語","Me","Хотел сказать, что ты очень милая Давно в петербурге?"
"General","莫心語","Me","31.10.2025, 18:01"
"General","莫心語","Me","Я здесь всего месяц.."
"General","Sabina Glamour","Partner","Request (1)"
"General","Sabina Glamour","Partner","3 нед."
"General","Sabina Glamour","Partner","5 нед."
"General","Sabina Glamour","Partner","16 нед."
"General","Sabina Glamour","Partner","17 нед."
"General","Sabina Glamour","Partner","sabinaglam0ur"
"General","Sabina Glamour","Partner","sabinaglam0ur · Instagram"
"General","Sabina Glamour","Me","Sabina Glamour вам ответил(-а)"
"General","Sabina Glamour","Me","мимо"
"General","Sabina Glamour","Me","Вы ответили Sabina Glamour"
"General","Sabina Glamour","Me","А жаль"
"General","Sabina Glamour","Me","Нужно еще 2 редфлага"
"General","Sabina Glamour","Me","Ну вот скажи, что Я неправ"
"General","Sabina Glamour","Me","29.10.2025, 15:08"
"General","Sabina Glamour","Me","не прав"
"General","Sabina Glamour","Me","31.10.2025, 14:24"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Partner","Request (1)"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Partner","3 нед."
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Partner","5 нед."
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Partner","16 нед."
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Partner","17 нед."
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Partner","marta_lissa__"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Partner","marta_lissa__ · Instagram"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","22.10.2025, 20:25"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","Ресницы   лев по зз?"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","22.10.2025, 22:30"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","Моему мастеру будет приятно   Овен"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","27.10.2025, 19:44"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","Я чет подвыпал из жизни, сори за игнор)  А мастеру реально респект пх"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","У тебя интересная аура, хз как описать В жизни такая же улыбашка?"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","31.10.2025, 13:52"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫ вам ответил(-а)"
"General","ЛИСА ⚪ РЫЖАЯ 🔴 БЕЗ ДУШИ ⚫","Me","Аура? Штош, и правда интересно) Насчёт улыбки да, частенько бываю"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Partner","Request (1)"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Partner","3 нед."
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Partner","5 нед."
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Partner","16 нед."
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Partner","17 нед."
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Partner","vvvvvvv_907"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Partner","vvvvvvv_907 · Instagram"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","22.10.2025, 19:55"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Овен"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","22.10.2025, 20:13"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Мог бы догадаться Ты будто разъебала подчиненных, а потом пошла смотреть мультики"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Или так и задумывалось"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","22.10.2025, 21:06"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Ахахах"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Соулмэйт в чате, Я тоже эти ваши смолтоки не выношу Ты ж с питера, верно?"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","22.10.2025, 22:13"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","С Питера"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Да"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","23.10.2025, 03:55"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Не пиши мне, у меня парень есть"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","28.10.2025, 01:53"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Вы ответили 𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋"
"General","𝚅𝚊𝚕𝚎𝚛𝚒𝚊🦋","Me","Красивый?"
"General","M A R I N A","Partner","Request (1)"
"General","M A R I N A","Partner","3 нед."
"General","M A R I N A","Partner","5 нед."
"General","M A R I N A","Partner","16 нед."
"General","M A R I N A","Partner","17 нед."
"General","M A R I N A","Partner","degil_m"
"General","M A R I N A","Partner","degil_m · Instagram"
"General","M A R I N A","Me","12.02.2025, 23:39"
"General","M A R I N A","Me","как мило!"
"General","M A R I N A","Me","27.10.2025, 20:03"
"General","M A R I N A","Me","Она определенно была на нежной стороне)"
"General","M A R I N A","Me","Хотя харизма что-то между топ сукой и зефиркой Взрывоопасно"
"General","M A R I N A","Me","Ахах"
"General","M A R I N A","Me","27.10.2025, 21:46"
"General","M A R I N A","Me","Понимаю, тоже эти ваши смолтоки не вывожу пх"
"General","M A R I N A","Me","Ты же с питера, верно?"
"General","M A R I N A","Me","Да"
"General","M A R I N A","Me","Волшебно"
"General","M A R I N A","Me","И давай сразу украду тебя в телегу, если тебе комфортно А как видишь гость Я тут нечастый)  t.me/awst_rv"
"General","M A R I N A","Me","Telegram: Contact @awst_rv"
"General","M A R I N A","Me","У тебя малышка змейка живет"
"General","M A R I N A","Me","Это здорово"
"General","M A R I N A","Me","Но я до жути боюсь их Можно просто сразу хоронить, если я оказываюсь рядом"
"General","Unknown","Partner","Request (1)"
"General","Unknown","Partner","3 нед."
"General","Unknown","Partner","5 нед."
"General","Unknown","Partner","16 нед."
"General","Unknown","Partner","17 нед."
"General","Unknown","Partner","никитук смешной инфлюенсер"
"General","Unknown","Partner","rnikitykk"
"General","Unknown","Partner","rnikitykk · Instagram"
"General","Unknown","Me","30 янв 2026 г., 09:54"
"General","Unknown","Me","у тебя вайб, будто за киндер на меня прыгнешь"
